symbol,name
NSE:ARE&M-EQ,AMARA RAJA ENERGY MOB LTD
NSE:EMAMIPAP-EQ,EMAMI PAPER MILLS LIMITED
NSE:FACT-EQ,FACT LTD
NSE:GODREJCP-EQ,GODREJ CONSUMER PRODUCTS
NSE:SCHAEFFLER-EQ,SCHAEFFLER INDIA LIMITED
NSE:ORICONENT-EQ,ORICON ENTERPRISES LTD
NSE:SETFNIF50-EQ,SBI-ETF NIFTY 50
NSE:BALKRISHNA-EQ,BALKRISHNA PAPER MILLS L
NSE:SHYAMCENT-EQ,SHYAM CENTURY FERROUS LTD
NSE:ADANIENSOL-EQ,ADANI ENERGY SOLUTION LTD
NSE:MANORAMA-EQ,MANORAMA INDUSTRIES LTD
NSE:FEDERALBNK-EQ,FEDERAL BANK LTD
NSE:CONFIPET-EQ,CONFIDENCE PETRO IND LTD.
NSE:SYNGENE-EQ,SYNGENE INTERNATIONAL LTD
NSE:NGLFINE-EQ,NGL FINE CHEM LIMITED
NSE:AYMSYNTEX-EQ,AYM SYNTEX LIMITED
NSE:PPL-EQ,PRAKASH PIPES LIMITED
NSE:AARON-EQ,AARON INDUSTRIES LIMITED
NSE:RAMASTEEL-EQ,RAMA STEEL TUBES LIMITED
NSE:AURUM-EQ,AURUM PROPTECH LIMITED
NSE:RADHIKAJWE-EQ,RADHIKA JEWELTECH LIMITED
NSE:DGCONTENT-EQ,DIGICONTENT LIMITED
NSE:CSLFINANCE-EQ,CSL FINANCE LIMITED
NSE:FINCABLES-EQ,FINOLEX CABLES LTD
NSE:JISLJALEQS-EQ,JAIN IRRIGATION SYSTEMS
NSE:SHAREINDIA-EQ,SHARE IND. SECURITIES LTD
NSE:STEELCITY-EQ,STEEL CITY SECURITIES LTD
NSE:KSHITIJPOL-EQ,KSHITIJ POLYLINE LIMITED
NSE:FINPIPE-EQ,FINOLEX INDUSTRIES LTD
NSE:MUTHOOTCAP-EQ,MUTHOOT CAP SERV LTD
NSE:DYCL-EQ,DYNAMIC CABLES LIMITED
NSE:AXISBNKETF-EQ,AXISAMC - AXISBNKETF
NSE:LUPIN-EQ,LUPIN LIMITED
NSE:UNITDSPR-EQ,UNITED SPIRITS LIMITED
NSE:SATIN-EQ,SATIN CREDIT NET LTD
NSE:ARVSMART-EQ,ARVIND SMARTSPACES LTD
NSE:POWERMECH-EQ,POWER MECH PROJECTS LTD.
NSE:RAMRAT-EQ,RAM RATNA WIRES LIMITED
